Transaction_ID,amount,user_id,device,label,time_of_day,transaction_frequency
1,699.9918477427573,39,tablet,0,afternoon,7
2,997.2829794207104,29,desktop,0,afternoon,2
3,897.6441603442806,15,mobile,0,afternoon,13
4,580.2384336276034,43,tablet,1,night,10
5,918.2216569546763,8,mobile,0,evening,17
6,15.247006333629363,21,tablet,0,afternoon,15
7,975.3164913156911,39,desktop,0,evening,7
8,495.8412914661966,19,tablet,0,afternoon,16
9,725.6671356555579,23,desktop,0,afternoon,8
10,822.652858421819,11,tablet,0,night,18
11,721.2726981281882,11,desktop,1,morning,18
12,539.6863647244614,24,desktop,0,night,16
13,481.85328928514787,36,desktop,0,afternoon,13
14,840.1967331155985,40,desktop,0,afternoon,12
15,213.02678454796452,24,mobile,0,morning,16
16,968.3141258391919,3,desktop,0,evening,4
17,713.8429540483808,22,mobile,0,evening,4
18,207.51185806493658,2,mobile,0,afternoon,19
19,738.8847118615033,24,desktop,0,evening,16
20,534.5416229493055,44,mobile,0,afternoon,16
21,710.1577946880001,30,tablet,0,morning,3
22,770.1017064284104,38,desktop,0,morning,8
23,96.4172777937787,2,mobile,0,afternoon,19
24,511.04291679575357,21,desktop,0,morning,15
25,932.6941988343648,33,desktop,0,night,11
26,327.43577023791914,12,desktop,0,night,1
27,597.9442665823199,22,mobile,0,morning,4
28,375.5381766947972,44,tablet,0,afternoon,16
29,459.72529249690865,25,tablet,0,afternoon,16
30,553.1170867587716,49,mobile,0,morning,18
31,553.4327600900875,27,desktop,0,evening,13
32,209.7131577069335,42,mobile,0,night,7
33,687.725832401035,28,mobile,0,evening,13
34,96.98943013023025,16,mobile,0,afternoon,6
35,147.43652570760017,15,desktop,0,afternoon,13
36,12.683790420186373,47,mobile,0,evening,6
37,125.52910350026451,44,desktop,0,morning,16
38,478.4345390413733,3,mobile,0,evening,4
39,610.0408622452802,37,tablet,0,evening,2
40,796.3465554667978,7,mobile,0,night,8
41,115.6322576123017,21,mobile,1,night,15
42,852.2201854162902,9,tablet,0,evening,7
43,748.514780293231,39,desktop,0,evening,7
44,414.43311000655774,18,desktop,0,afternoon,5
45,933.6086864289551,4,mobile,0,night,3
46,991.0201816928167,25,tablet,0,night,16
47,212.9517919527049,14,desktop,0,afternoon,4
48,385.4362991141624,9,mobile,0,morning,7
49,927.184929353814,26,tablet,0,night,4
50,724.3805852437644,2,desktop,0,night,19
51,57.61369752444681,20,desktop,0,morning,15
52,783.6993369339008,28,tablet,0,night,13
53,829.661478305717,47,tablet,0,night,6
54,752.9969055176604,7,tablet,0,morning,8
55,801.5417596103205,44,tablet,0,morning,16
56,826.8813499258692,8,mobile,0,evening,17
57,194.54093692026265,47,tablet,1,afternoon,6
58,243.33482860434975,35,desktop,0,afternoon,7
59,637.4209780829755,14,desktop,1,morning,4
60,908.7874691578908,17,mobile,0,morning,14
61,323.03461647352964,36,desktop,0,night,13
62,592.4236090371061,40,desktop,0,evening,12
63,686.1522427829611,4,tablet,0,evening,3
64,457.42911528604884,2,desktop,1,morning,19
65,716.6446303067727,6,mobile,0,night,12
66,900.6707708392514,42,tablet,0,night,7
67,627.8605287400193,4,tablet,0,afternoon,3
68,544.3832512954867,29,mobile,0,afternoon,2
69,444.3572286344557,18,tablet,0,night,5
70,581.7114081970644,26,tablet,0,afternoon,4
71,361.80882730021193,44,mobile,0,morning,16
72,397.5672890994869,34,tablet,0,night,9
73,536.5389048912922,10,mobile,0,afternoon,11
74,75.9529212669088,36,mobile,0,evening,13
75,236.7351370155484,14,desktop,0,night,4
76,547.4208175072748,31,desktop,1,night,8
77,437.2128617050782,48,tablet,0,evening,18
78,339.48762805335946,15,tablet,0,morning,13
79,733.2436454412084,8,mobile,0,evening,17
80,696.7804313293051,14,tablet,0,night,4
81,175.06345239344932,23,mobile,0,morning,8
82,879.8428242197039,40,mobile,1,afternoon,12
